Time,co2_maintn_mba,co2_growth,co2_maintn_mbd,mom_dom,pomo_mom
1.0,1.2109907186660485e-7,9.024329055535178e-7,7.292292426962511e-9,0.0,7.251311782273044e-8
2.0,1.7138040963803696e-7,1.3092348635810375e-6,7.253215270394961e-9,0.0,7.409200343359435e-8
3.0,2.115726125509581e-7,1.5766436896413743e-6,7.214348680912739e-9,0.0,7.231140864996038e-8
4.0,2.5794490669769294e-7,1.9222110296629173e-6,7.175666667425529e-9,0.0,7.208568199440222e-8
5.0,3.152698390764623e-7,2.4084565186082822e-6,7.137196627555205e-9,0.0,7.340003713513342e-8
6.0,3.652248256495505e-7,2.7900801252348695e-6,7.098938298365314e-9,0.0,7.317093087692789e-8
7.0,4.1615870695489307e-7,3.1791818509414043e-6,7.060889312553163e-9,0.0,7.29426944137691e-8
8.0,4.833468243902084e-7,3.7832208347292234e-6,7.0230525325169914e-9,0.0,7.423835303649991e-8
9.0,5.384314099335206e-7,4.21437532087444e-6,6.985465947320922e-9,0.0,7.400684770947094e-8
10.0,5.947201548659347e-7,4.65495492509079e-6,6.948030003476009e-9,0.0,7.377623820548378e-8
11.0,6.316012667146908e-7,4.8250228833698e-6,6.910783723195912e-9,0.0,7.203768656546722e-8
12.0,6.657289052039332e-7,4.961026215757663e-6,6.8737397701207836e-9,0.0,7.030782628681903e-8
13.0,7.445246938963146e-7,5.687684421485435e-6,6.836902188816877e-9,0.0,7.159106279434539e-8
14.0,7.772099895108626e-7,5.791785669770477e-6,6.800262308746081e-9,0.0,6.987227429506342e-8
15.0,8.34226547215253e-7,6.216674292290317e-6,6.76382100016574e-9,0.0,6.96558962464371e-8
16.0,9.83653766133978e-7,7.891134738203834e-6,6.7276131474249295e-9,0.0,7.395152114482405e-8
17.0,1.0518289169987117e-6,8.43805411145586e-6,6.691571805951807e-9,0.0,7.372218982602056e-8
18.0,1.1215507640990727e-6,8.99738149737923e-6,6.655712326723407e-9,0.0,7.349379370328337e-8
19.0,1.1928541042158005e-6,9.569396045096049e-6,6.620042150842728e-9,0.0,7.326633534562089e-8
20.0,1.3071420381719451e-6,1.074188792766791e-5,6.584568470965088e-9,0.0,7.455691225510146e-8
21.0,1.3855557777739273e-6,1.13862797215175e-5,6.549261703354396e-9,0.0,7.432642623215885e-8
22.0,1.4658498939403745e-6,1.2046124154581069e-5,6.514145443770415e-9,0.0,7.409691636450533e-8
23.0,1.5480787342859437e-6,1.272186784701827e-5,6.479218245055481e-9,0.0,7.386838646147532e-8
24.0,1.6322990028780456e-6,1.3413976783947314e-5,6.444477176286502e-9,0.0,7.364084056511379e-8
25.0,1.7185613126564446e-6,1.4122866894556276e-5,6.409925148855308e-9,0.0,7.341428295039008e-8
26.0,1.7497305907420277e-6,1.403680880658745e-5,6.375557801972267e-9,0.0,7.16994385407096e-8
27.0,1.8355576517749314e-6,1.4725336544814439e-5,6.341375972797765e-9,0.0,7.147962640075342e-8
